timestamp,rtt
1690790400,31.529118
1690790645,31.754267
1690790882,31.73342
1690791132,31.73178
1690791364,31.704089
1690791599,31.460762
1690791848,31.717985
1690792088,31.746224
1690792319,31.756021
1690792571,31.7257
1690792805,31.745206
1690793053,31.184179
1690793293,31.534204
1690793532,31.715551
1690793770,31.701688
1690794012,31.452238
1690794251,31.758117
1690794491,31.745776
1690794723,31.578179
1690794966,31.644755
1690795209,31.734355
1690795452,31.724836
1690795682,31.69549
1690795929,31.730081
1690796159,31.75326
1690796405,31.70053
1690796640,31.66749
1690796883,31.515873
1690797131,31.759126
1690797370,31.70997
1690797601,31.712299
1690797844,31.716095
1690798086,31.733535
1690798328,31.740746
1690798563,31.703171
1690798803,31.704681
1690799040,31.393726
1690799290,31.705184
1690799519,31.353966
1690799767,31.70715
1690800001,31.687316
1690800250,31.600433
1690800487,31.72287
1690800726,31.679545
1690800970,31.70522
1690801203,31.733764
1690801448,31.399703
1690801690,31.68292
1690801924,31.726641
1690802160,31.748361
1690802411,31.71751
1690802647,31.665593
1690802889,31.710572
1690803125,31.724055
1690803368,31.645834
1690803602,31.690055
1690803839,31.722286
1690804094,31.730346
1690804334,31.751246
1690804565,31.751108
1690804805,31.450492
1690805044,31.741876
1690805288,31.712516
1690805527,31.758884
1690805769,31.774126
1690806009,31.666055
1690806240,31.636889
1690806480,31.711385
1690806726,31.682231
1690806968,31.774027
1690807213,31.722781
1690807450,31.757806
1690807691,31.684755
1690807925,31.615384
1690808160,31.587307
1690808405,31.572049
1690808647,31.740299
1690808891,31.758501
1690809128,31.737859
1690809362,31.586859
1690809603,31.742935
1690809841,31.382687
1690810085,31.723304
1690810319,31.863812
1690810574,31.73236
1690810805,31.718645
1690811044,31.571383
1690811283,31.705521
1690811524,31.717451
1690811761,31.607224
1690812005,31.72926
1690812250,31.363806
1690812482,31.69768
1690812724,31.642852
1690812973,31.749986
1690813199,31.572834
1690813450,31.7218
1690813681,31.717642
1690813922,31.434082
1690814160,31.516078
1690814404,31.723775
1690814647,31.75904
