Target,Probe AS,Group ID,Country,Probe Count,Latitude,Longitude,Neighbor Count,Neighbors,Probe IDs,Median RTT (ms),RTT Range (ms),Min RTT (ms),Max RTT (ms)
Ubisoft AS49544,AS3212,AS3212-1,SI,2,46.519,15.681000000000001,2,"AS3212, AS9498","25965, 28583",33.6765,0.016000000000005343,33.668499999999995,33.6845
Ubisoft AS49544,AS3215,AS3215-1,FR,49,48.855806122448975,2.1474183673469387,3,"AS1299, AS174, AS3356","1003398, 1003511, 1003778, 1005998, 1008208, 1008498, 1008524, 1008716, 1009962, 1010204, 12392, 13497, 14037, 14039, 14683, 15801, 16923, 17082, 17276, 17566, 19867, 20225, 20233, 21396, 21517, 23210, 26896, 27262, 27397, 28930, 30489, 31879, 31932, 32173, 33573, 453, 50670, 50988, 51111, 53541, 53570, 54095, 55619, 55711, 61135, 61372, 61735, 62662, 62734",12.782,15.229,10.744,25.973
Ubisoft AS49544,AS3215,AS3215-2,FR,17,45.923617647058826,5.113264705882353,2,"AS1299, AS174","1000339, 1007448, 1008306, 1008332, 1009725, 16861, 17110, 18549, 20088, 23220, 26732, 34931, 53872, 54004, 54878, 62072, 62556",18.775,15.064999999999998,17.03,32.095
Ubisoft AS49544,AS3215,AS3215-3,FR,15,47.14136666666666,-1.0121,2,"AS174, AS3356","1006390, 1009984, 16917, 17145, 21369, 30440, 31533, 31853, 31886, 35457, 50602, 50685, 54089, 55464, 61720",19.698,7.461,15.211,22.672
Ubisoft AS49544,AS3215,AS3215-4,FR,5,48.228300000000004,-1.2841,2,"AS174, AS3356","1000487, 20047, 29670, 31939, 33648",18.6695,8.4425,14.8105,23.253
Ubisoft AS49544,AS3215,AS3215-5,FR,4,48.19025,-4.170999999999999,2,"AS174, AS3356","11768, 12328, 15941, 35017",25.182000000000002,12.366499999999998,18.734,31.1005
Ubisoft AS49544,AS3215,AS3215-6,FR,4,49.137,-0.3345,2,"AS174, AS3356","1003275, 17262, 53592, 61458",16.732999999999997,0.843,16.623,17.466
Ubisoft AS49544,AS3215,AS3215-7,FR,4,45.227,5.6697500000000005,2,"AS1299, AS174","16801, 29742, 33969, 51087",19.5625,3.142999999999997,18.7205,21.8635
Ubisoft AS49544,AS3215,AS3215-8,FR,3,47.81816666666666,-2.9661666666666666,2,"AS174, AS3356","15852, 17360, 52593",21.661,11.167499999999997,18.484,29.6515
Ubisoft AS49544,AS3257,AS3257-1,DE,2,50.1095,8.685,2,"AS1299, AS174","137, 27782",10.2875,1.1110000000000007,9.732,10.843
Ubisoft AS49544,AS3320,AS3320-1,DE,214,49.79304205607476,9.15873831775701,3,"AS1299, AS2914, AS3356","1000196, 1000506, 1000563, 1000637, 1000730, 1001405, 1002002, 1002063, 1002075, 1002231, 1002444, 1002512, 1002829, 1003646, 1003647, 1003874, 1004843, 1004844, 1005061, 1005398, 1005472, 1005572, 1005615, 1005629, 1005791, 1005899, 1005905, 1006381, 1006460, 1007406, 1007516, 1007606, 1007858, 1008073, 1008492, 1008589, 1008606, 1009092, 1009257, 1009330, 1009584, 1009770, 1009948, 1010170, 1010176, 1010210, 1010222, 10188, 10738, 10755, 10826, 10864, 10920, 11059, 11069, 11075, 11177, 11974, 12092, 1212, 12177, 12239, 1313, 1330, 13415, 13488, 13662, 1388, 14525, 14529, 14685, 14719, 14752, 1497, 15128, 15146, 15637, 16066, 16519, 16665, 16667, 16693, 19615, 20049, 20118, 20250, 2089, 2097, 21425, 2147, 21674, 21954, 21996, 22098, 2237, 22427, 22455, 22981, 23363, 23970, 2453, 24539, 24748, 26821, 26911, 27601, 27606, 27668, 27740, 2777, 28287, 28623, 28726, 28738, 29212, 29250, 29308, 29325, 29376, 29391, 29393, 29403, 29485, 29513, 29572, 29639, 29647, 29703, 29951, 29972, 3068, 30717, 30966, 31056, 31691, 31745, 31799, 31881, 31951, 31966, 32273, 32290, 32347, 32378, 32700, 32757, 33426, 33875, 33935, 34005, 34205, 34422, 34696, 34752, 34753, 34933, 35083, 382, 4180, 4260, 4435, 46, 4740, 50008, 50033, 50048, 50445, 50532, 50626, 50659, 50689, 50715, 50955, 51168, 51325, 52315, 52553, 52682, 52701, 52712, 52758, 52779, 52995, 53179, 53219, 53265, 53285, 53331, 53333, 53376, 53485, 53489, 53744, 53806, 54007, 54061, 54068, 54263, 54378, 55024, 55064, 55834, 60111, 60470, 60970, 61271, 61923, 62000, 62047, 62217, 62568, 62648, 63066, 6724",17.17,3099.7200000000003,8.524,3108.244
