timestamp,rtt
1690786894,34.93641
1690787132,34.888688
1690787362,35.274196
1690787616,35.12451
1690787845,34.977067
1690788093,34.992341
1690788330,34.941737
1690788570,34.801172
1690788802,35.090719
1690789043,34.875305
1690789293,35.134614
1690789525,35.241112
1690789765,34.959352
1690790008,35.03398
1690790256,35.099813
1690790494,34.829623
1690790726,34.942829
1690790969,34.945381
1690791212,35.263082
1690791445,35.402372
1690791691,35.020608
1690791935,35.196007
1690792171,35.246646
1690792412,35.026663
1690792642,34.911277
1690792894,34.759948
1690793127,35.032104
1690793368,35.097541
1690793615,34.53074
1690793841,34.623223
1690794082,35.03943
1690794329,34.931524
1690794574,35.339916
1690794808,34.755317
1690795042,34.873713
1690795285,34.798993
1690795523,34.705778
1690795762,34.850569
1690796008,35.206126
1690796243,35.119499
1690796482,34.950816
1690796732,34.931568
1690796974,34.92962
1690797204,35.312244
1690797451,34.862622
1690797686,35.031558
1690797928,34.910828
1690798162,35.069344
1690798404,34.843242
1690798651,35.174258
1690798886,35.025868
1690799121,35.138418
1690799375,34.927145
1690799609,35.023205
1690799846,35.103376
1690800092,34.83428
1690800329,35.00767
1690800572,35.386037
1690800808,34.817566
1690801050,34.85814
1690801294,34.926638
1690801530,34.703344
1690801767,35.107127
1690802002,34.969286
1690802244,34.857263
1690802489,34.980668
1690802723,34.842009
1690802973,35.021816
1690803208,35.139595
1690803442,34.731332
1690803687,35.121857
1690803924,34.880167
1690804164,34.879891
1690804414,34.942176
1690804656,35.148651
1690804892,35.009988
1690805131,34.740603
1690805375,35.077103
1690805614,35.140919
1690805845,35.162338
1690806087,35.3801
1690806331,34.97603
1690806562,35.000136
1690806814,35.09724
1690807046,35.024603
1690807291,34.854387
1690807522,34.961628
1690807765,34.906445
1690808013,34.973156
1690808247,34.963088
1690808485,35.020893
1690808730,34.835889
1690808967,35.139586
1690809202,35.004453
1690809445,34.972378
1690809685,34.918033
1690809923,34.758434
1690810169,34.818553
1690810410,35.099016
1690810647,35.176331
1690810886,34.997845
1690811122,34.972681
1690811366,34.94664
1690811613,34.958234
1690811845,34.627393
1690812090,34.826197
1690812335,34.878384
1690812561,34.992744
1690812807,35.000507
1690813047,35.007861
1690813284,34.946324
1690813536,35.25993
1690813769,35.024284
1690814014,34.469041
1690814249,34.972327
1690814489,35.344219
1690814726,35.205681
1690814965,34.928425
1690815201,35.180089
1690815442,35.212825
1690815696,35.236127
1690815925,34.899303
1690816169,34.983247
1690816401,34.87404
1690816644,35.130789
1690816894,35.279215
1690817126,34.907769
1690817365,34.881411
1690817612,35.288903
1690817845,34.615768
1690818085,34.928836
1690818321,34.822826
1690818567,35.104024
